                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8573,                 3.1165,                 1.8046,                0.00333,                      1,                0.65423,                0.36935,                0.94461,                 3.3981,                 1.3044,                0.00014,                0.00014,                0.00014
                      2,                 1.4677,                 2.0553,                 1.4694,                0.00333,                      1,                 0.5742,                0.29131,                 1.4391,                 3.4033,                 1.7788,             0.00028515,             0.00028515,             0.00028515
                      3,                 1.4801,                 2.1851,                 1.4925,                0.00333,                      1,                0.56899,                0.36223,                 1.3256,                 3.4639,                 1.5507,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.4008,                 1.9836,                 1.4745,                0.19665,                      1,                0.81983,                0.40691,                 1.4706,                  3.228,                 1.5229,             0.00052793,             0.00052793,             0.00052793
                      5,                 1.3825,                 1.8646,                 1.4438,                      1,                0.34855,                0.89548,                0.50778,                 1.4605,                 3.2279,                 1.5654,             0.00062556,             0.00062556,             0.00062556
                      6,                 1.5761,                  2.015,                 1.5665,                      1,                0.33552,                 0.7331,                0.37608,                  1.596,                 3.3123,                 1.7207,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.5817,                 2.0366,                 1.5414,                0.00333,                      1,                 0.2644,                0.11502,                 1.8121,                 3.5359,                 2.0658,              0.0007733,              0.0007733,              0.0007733
                      8,                  1.477,                 2.0528,                 1.5485,                0.64345,                0.54427,                0.60452,                 0.2391,                 1.2948,                 2.9494,                 1.5287,             0.00082341,             0.00082341,             0.00082341
                      9,                 1.5105,                 1.9137,                 1.4566,                0.63989,                    0.3,                0.31958,                0.17382,                 1.7714,                 3.2132,                  1.962,             0.00085768,             0.00085768,             0.00085768
                     10,                 1.3686,                   1.69,                 1.3926,                0.73494,                    0.4,                0.45347,                0.18959,                 1.7081,                 3.9682,                 2.0602,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.3175,                 2.2376,                 1.4997,                 0.6572,                    0.5,                 0.4932,                0.25164,                 1.4523,                 5.0104,                  2.021,              0.0008787,              0.0008787,              0.0008787
                     12,                 1.3182,                 2.1334,                 1.4666,                0.77708,                    0.5,                0.55161,                0.29911,                  1.529,                 3.7605,                 1.9684,             0.00086545,             0.00086545,             0.00086545
                     13,                 1.4274,                 2.0454,                 1.6226,                0.69318,                    0.7,                0.62259,                0.34258,                 1.5119,                 3.9579,                 1.7313,               0.000812,               0.000812,               0.000812
                     14,                 1.1775,                  1.887,                 1.3951,                0.38322,                    0.6,                0.30573,                0.15489,                  1.684,                 3.1011,                 1.8484,               0.000713,               0.000713,               0.000713
                     15,                 1.3706,                 1.9267,                 1.5966,                0.65218,                    0.8,                 0.6935,                0.43353,                 1.3467,                  2.342,                 1.5528,               0.000614,               0.000614,               0.000614
                     16,                 1.2434,                 1.7536,                 1.4055,                0.98741,                    0.7,                0.88843,                0.50426,                 1.4465,                 1.9363,                 1.4867,               0.000515,               0.000515,               0.000515
                     17,                  1.294,                 1.8046,                  1.545,                0.89713,                0.87421,                0.91278,                0.53962,                 1.4712,                 1.7648,                 1.4882,               0.000416,               0.000416,               0.000416
                     18,                  1.199,                 1.6209,                 1.3844,                 0.8948,                    0.9,                  0.945,                0.55653,                 1.4913,                  1.737,                 1.4545,               0.000317,               0.000317,               0.000317
                     19,                   1.17,                 1.5692,                 1.3565,                0.88997,                    0.9,                0.94056,                0.55847,                 1.5027,                 1.7893,                 1.4683,               0.000218,               0.000218,               0.000218
                     20,                 1.1246,                 1.5619,                 1.2967,                0.89903,                0.89127,                0.93763,                0.57772,                 1.4294,                 1.7397,                 1.4373,               0.000119,               0.000119,               0.000119
